E1_P01_X,E1_P01_Y,E1_P02_X,E1_P02_Y,E1_P03_X,E1_P03_Y,E1_P04_X,E1_P04_Y,MEAN_X,MEAN_Y
2.76148741339291E-05,0.896141943575845,3.02068854190746E-05,0.887641555842538,3.27346186019793E-05,0.853820005134383,2.87900699860239E-05,0.768727646630163,0.000130300143132437,3.10854492653668
2.78412698000788E-05,0.90348880495557,3.03971120337417E-05,0.893231441918615,3.29485480021043E-05,0.859399944944713,2.90295443723164E-05,0.775121885389991,0.000136871888443934,3.20066924365385
2.80011954713991E-05,0.908678620459691,3.06426939816157E-05,0.900447966868919,3.32588700098438E-05,0.867494101820744,2.93021515161644E-05,0.782400806498782,0.000143522754816287,3.29506079565239
2.82375332307925E-05,0.91634811690628,3.09647335720408E-05,0.909911230595781,3.34675133637448E-05,0.872936165211341,2.96180608778077E-05,0.790835946123048,0.000149844549294606,3.38002270567477
2.84804043657461E-05,0.924229630682522,3.11919656857025E-05,0.916588538239712,3.36646517935112E-05,0.878078144629581,2.98621279235633E-05,0.797352814119365,0.00015541061488226,3.44332900487411
2.86849274267596E-05,0.930866694915146,3.13880030812035E-05,0.922349176462806,3.38879095105021E-05,0.88390139576885,3.01176766179767E-05,0.804176255206908,0.000160360834518469,3.48898807579327
2.89414334324473E-05,0.93919067964023,3.15635498285007E-05,0.927507688693784,3.41245378150009E-05,0.890073393146264,3.03003988551889E-05,0.809055146972968,0.000165217064973441,3.53195386191734
2.91490811513375E-05,0.945929143465297,3.17479656623339E-05,0.932926822622842,3.43533925221114E-05,0.896042631082896,3.04906661758048E-05,0.814135501056119,0.00017005202200859,3.57431005258165
2.93516157937022E-05,0.952501680684549,3.19837610319614E-05,0.939855765009747,3.46568737641492E-05,0.903958359651038,3.07767232509377E-05,0.821773550643202,0.000174472773345781,3.60479706964879
2.9577443340238E-05,0.959830105774739,3.22290371492652E-05,0.947063303004945,3.49233526826189E-05,0.910908953281056,3.09715832310168E-05,0.826976533962842,0.000178710638420684,3.63004343260056
2.97490154636438E-05,0.96539786521433,3.24229337307747E-05,0.952761032542296,3.51204911123852E-05,0.916050932699295,3.1172348058977E-05,0.832337183443684,0.000183215164923625,3.66293104915322
3.00160316821892E-05,0.974062921295812,3.26039854283356E-05,0.958081309965185,3.53589850802572E-05,0.922271592342497,3.14905537503519E-05,0.840833637686195,0.000187757522605651,3.69690272812744
3.01773776525443E-05,0.979298827523772,3.27706630890969E-05,0.962979200498081,3.55694940975314E-05,0.927762317998883,3.16890222485806E-05,0.846132972548792,0.000191907959857263,3.71964382372779
3.03284974698487E-05,0.9842028805401,3.30434639577191E-05,0.97099556445284,3.58428137817027E-05,0.93489133993679,3.19068455259753E-05,0.851949102050883,0.000196233087016888,3.7473907047485
3.05886962530271E-05,0.992646701147161,3.33291097102899E-05,0.979389380522061,3.60402631553646E-05,0.94004142973266,3.21837172821819E-05,0.859341893164985,0.000200112878889828,3.76237638559101
3.07659495725721E-05,0.998398823482102,3.36386102473366E-05,0.988484179089568,3.63247768197751E-05,0.947462425265294,3.23854662514557E-05,0.864728820339361,0.000204150312557705,3.78187933367416
3.09534290451678E-05,1.00448279902867,3.38493275102073E-05,0.994676191157762,3.65741538239906E-05,0.953966948125591,3.2669883091066E-05,0.872323073770554,0.000208172061321102,3.80093282667969
3.1106537281121E-05,1.00945137905838,3.40181459849601E-05,0.999636990376402,3.67734688610257E-05,0.95916570018725,3.29214952202254E-05,0.879041404083962,0.00021190809148897,3.81179897792004
3.13332170070776E-05,1.01680745858287,3.41887994431341E-05,1.00465171132568,3.70433681623462E-05,0.966205507971212,3.32023035416861E-05,0.886539305972198,0.000215649257134224,3.8228122876203
3.15167196423759E-05,1.0227623801027,3.43845310080648E-05,1.01040336259367,3.72628945525908E-05,0.971931434578905,3.34457144932327E-05,0.89303865550616,0.000219420169128281,3.83467798679651
3.1724083301459E-05,1.029491625783,3.45970832543568E-05,1.0166492963925,3.74674956358499E-05,0.977268063060296,3.36366379080576E-05,0.898136528051667,0.000223019031427401,3.84161355655488
3.19419571733998E-05,1.03656194281969,3.48313494711332E-05,1.02353330400387,3.77302432275732E-05,0.984121332158739,3.39256474071311E-05,0.90585341071935,0.000226612999775227,3.84840888884726
3.21121089977708E-05,1.04208361153545,3.50252460526427E-05,1.02923103354122,3.79497696178178E-05,0.989847258766432,3.41198512930011E-05,0.911038875576635,0.00023022299657974,3.85566352079643
3.2388783249753E-05,1.05106208453903,3.51955936802465E-05,1.0342367675354,3.81680522324802E-05,0.995540743863599,3.44833274847984E-05,0.920744103721689,0.000233976793712314,3.86703878909971
3.26129064374469E-05,1.05833520076061,3.54485155618054E-05,1.04166897940825,3.83633249988734E-05,1.00063406101605,3.47303469544946E-05,0.927339804798607,0.00023774419881948,3.87880399750649
3.28066352257958E-05,1.06462197549207,3.56148873919965E-05,1.04655788298604,3.86758236138816E-05,1.0087849905355,3.49347203006044E-05,0.932796805822406,0.00024137381663313,3.8866208746511
